date,time,implementation,threads,image_file,execution_ms,cpu_ms,avg_cpu_percent
2026-05-10,17:31:40.803810100,4,4,src7K.jpg,1806.182,5687.500,14.31
2026-05-10,17:31:41.346859100,4,8,src.jpg,252.883,1578.125,28.37
2026-05-10,17:31:45.576277200,4,8,src10K.jpg,3165.939,15328.125,22.01
2026-05-10,17:31:46.121008600,4,8,src2K.jpg,213.226,1515.625,32.31
2026-05-10,17:31:47.302666900,4,8,src5K.jpg,725.567,3765.625,23.59
2026-05-10,17:31:49.757830400,4,8,src7K.jpg,1758.624,10093.750,26.09
2026-05-10,17:31:50.280162100,4,16,src.jpg,187.361,1546.875,37.53
2026-05-10,17:31:53.637478900,4,16,src10K.jpg,2329.648,21546.875,42.04
2026-05-10,17:31:54.222108,4,16,src2K.jpg,256.360,1437.500,25.49
2026-05-10,17:31:55.282223600,4,16,src5K.jpg,588.005,5671.875,43.85
2026-05-10,17:31:57.427101800,4,16,src7K.jpg,1472.835,13859.375,42.77
2026-05-10,17:31:57.893991,5,1,src.jpg,159.410,265.625,7.57
2026-05-10,17:32:05.378337800,5,1,src10K.jpg,6441.475,6312.500,4.45
2026-05-10,17:32:05.942053,5,1,src2K.jpg,246.674,328.125,6.05
2026-05-10,17:32:07.446206900,5,1,src5K.jpg,1042.498,1046.875,4.56
2026-05-10,17:32:11.468206400,5,1,src7K.jpg,3331.544,3296.875,4.50
2026-05-10,17:32:11.949748,5,2,src.jpg,155.872,281.250,8.20
2026-05-10,17:32:16.874033800,5,2,src10K.jpg,3761.066,6156.250,7.44
2026-05-10,17:32:17.414251800,5,2,src2K.jpg,205.045,406.250,9.01
2026-05-10,17:32:18.554815,5,2,src5K.jpg,682.158,1203.125,8.02
2026-05-10,17:32:21.101298300,5,2,src7K.jpg,1870.975,3218.750,7.82
2026-05-10,17:32:21.596780200,5,4,src.jpg,153.896,687.500,20.31
2026-05-10,17:32:25.728654500,5,4,src10K.jpg,3127.096,8640.625,12.56
2026-05-10,17:32:26.334161900,5,4,src2K.jpg,210.413,671.875,14.51
2026-05-10,17:32:27.545976500,5,4,src5K.jpg,743.887,2296.875,14.03
2026-05-10,17:32:30.017608100,5,4,src7K.jpg,1787.815,5656.250,14.38
2026-05-10,17:32:30.534575,5,8,src.jpg,201.637,1109.375,25.01
2026-05-10,17:32:34.411086700,5,8,src10K.jpg,2873.962,14406.250,22.78
2026-05-10,17:32:34.968114300,5,8,src2K.jpg,218.889,1078.125,22.39
2026-05-10,17:32:36.028552,5,8,src5K.jpg,596.928,2984.375,22.73
2026-05-10,17:32:38.537123500,5,8,src7K.jpg,1875.232,11265.625,27.31
2026-05-10,17:32:39.014659200,5,16,src.jpg,202.990,1578.125,35.34
2026-05-10,17:32:42.128904100,5,16,src10K.jpg,2117.457,21515.625,46.19
2026-05-10,17:32:42.728243200,5,16,src2K.jpg,226.965,1921.875,38.49
2026-05-10,17:32:43.783889600,5,16,src5K.jpg,617.538,5734.375,42.21
2026-05-10,17:32:45.980321700,5,16,src7K.jpg,1504.431,13953.125,42.16
